CustomerID,Age,Gender,Tenure,ServicePlan,ContractType,MonthlyCharges,TotalCharges,Churn
1,21,Male,9,Premium,Month-to-month,59.7,537.3,0
2,40,Male,71,Basic,Month-to-month,92.56,6571.76,0
3,21,Male,63,Basic,Two-year,69.78,4396.14,1
4,43,Female,54,Premium,One-year,58.61,3164.94,0
5,55,Female,69,Premium,Two-year,55.39,3821.91,0
6,36,Male,20,Basic,One-year,100.89,2017.8,1
7,40,Female,5,Basic,One-year,116.47,582.35,1
8,62,Male,28,Premium,Month-to-month,73.19,2049.32,0
9,51,Male,53,Basic,Month-to-month,93.84,4973.52,0
10,55,Female,50,Premium,Two-year,106.28,5314.0,0
11,56,Male,29,Premium,Month-to-month,95.84,2779.36,0
12,22,Male,45,Basic,Month-to-month,37.29,1678.05,0
13,39,Female,48,Basic,One-year,85.71,4114.08,1
14,51,Male,3,Basic,Two-year,43.33,129.99,1
15,23,Male,19,Premium,One-year,108.76,2066.44,0
16,25,Female,46,Premium,One-year,89.96,4138.16,1
17,21,Male,22,Basic,Two-year,69.9,1537.8,0
18,25,Male,20,Basic,Two-year,35.49,709.8,1
19,68,Female,1,Premium,One-year,87.99,87.99,0
20,22,Male,10,Premium,Month-to-month,39.92,399.2,0
21,60,Female,25,Basic,Two-year,105.38,2634.5,0
22,27,Male,10,Premium,Two-year,116.28,1162.8,0
23,52,Male,69,Basic,Two-year,104.82,7232.58,1
24,51,Male,48,Basic,One-year,69.09,3316.32,0
25,67,Male,30,Basic,Two-year,95.7,2871.0,0
26,45,Female,64,Basic,Two-year,82.46,5277.44,0
27,56,Female,22,Basic,One-year,70.64,1554.08,1
28,24,Male,64,Basic,One-year,70.53,4513.92,1
29,26,Male,6,Basic,Month-to-month,75.04,450.24,1
30,34,Female,67,Basic,Month-to-month,70.6,4730.2,1
31,52,Female,39,Premium,One-year,102.31,3990.09,0
32,23,Male,40,Basic,Month-to-month,85.71,3428.4,1
33,40,Female,27,Premium,One-year,54.07,1459.89,1
34,43,Male,9,Basic,Month-to-month,94.98,854.82,0
35,50,Male,27,Premium,One-year,102.71,2773.17,1
36,70,Female,41,Basic,Month-to-month,78.84,3232.44,0
37,18,Female,71,Premium,Two-year,95.63,6789.73,1
38,50,Female,22,Basic,Two-year,91.09,2003.98,1
39,68,Female,32,Basic,One-year,39.74,1271.68,1
40,28,Male,13,Basic,Month-to-month,63.93,831.09,0
41,70,Female,53,Basic,Two-year,101.86,5398.58,1
42,22,Male,4,Basic,Month-to-month,105.43,421.72,0
43,29,Female,41,Premium,Two-year,69.51,2849.91,0
44,55,Male,45,Basic,One-year,61.65,2774.25,0
45,54,Male,2,Basic,Two-year,73.26,146.52,1
46,40,Female,36,Basic,One-year,112.03,4033.08,0
47,25,Female,1,Basic,Two-year,112.25,112.25,0
48,55,Male,10,Premium,Two-year,32.18,321.8,1
49,21,Female,42,Premium,One-year,112.44,4722.48,0
50,31,Female,4,Premium,One-year,60.09,240.36,1
51,32,Male,46,Premium,Two-year,93.75,4312.5,0
52,39,Female,47,Basic,One-year,50.52,2374.44,0
53,56,Male,22,Premium,Month-to-month,42.18,927.96,1
54,49,Female,65,Premium,Two-year,80.92,5259.8,1
55,55,Male,36,Basic,Two-year,115.3,4150.8,0
56,35,Female,56,Premium,Month-to-month,103.62,5802.72,1
57,45,Female,59,Premium,Month-to-month,39.18,2311.62,0
58,46,Female,6,Premium,Month-to-month,73.26,439.56,0
59,49,Male,5,Basic,Month-to-month,55.28,276.4,1
60,38,Male,62,Basic,One-year,113.57,7041.34,0
61,38,Male,20,Basic,Month-to-month,37.29,745.8,0
62,29,Female,62,Basic,One-year,83.02,5147.24,0
63,21,Female,10,Premium,Month-to-month,75.83,758.3,1
64,52,Female,9,Premium,One-year,116.97,1052.73,1
65,41,Male,59,Premium,Two-year,104.17,6146.03,0
66,24,Female,23,Premium,One-year,45.21,1039.83,0
67,32,Female,14,Premium,Month-to-month,115.94,1623.16,0
68,34,Female,16,Basic,Month-to-month,99.83,1597.28,0
69,35,Male,56,Premium,Two-year,72.52,4061.12,1
70,61,Male,14,Premium,Two-year,117.71,1647.94,0
71,24,Female,58,Basic,Two-year,111.52,6468.16,0
72,38,Female,50,Premium,Two-year,49.76,2488.0,1
73,39,Male,2,Premium,Two-year,88.53,177.06,0
74,32,Female,34,Basic,One-year,113.96,3874.64,0
75,57,Male,24,Premium,Month-to-month,39.74,953.76,1
76,22,Male,23,Basic,Two-year,36.42,837.66,0
77,23,Female,41,Premium,One-year,34.83,1428.03,0
78,25,Female,12,Premium,Month-to-month,98.81,1185.72,1
79,36,Female,29,Premium,Month-to-month,35.4,1026.6,0
80,34,Male,68,Basic,Month-to-month,82.69,5622.92,0
81,59,Male,40,Basic,One-year,91.79,3671.6,1
82,35,Female,11,Premium,One-year,78.67,865.37,0
83,57,Female,37,Premium,One-year,104.54,3867.98,0
84,40,Male,14,Basic,Month-to-month,94.61,1324.54,0
85,25,Female,57,Premium,One-year,43.26,2465.82,0
86,31,Female,47,Basic,One-year,52.23,2454.81,1
87,55,Female,28,Basic,One-year,83.08,2326.24,1
88,52,Female,59,Basic,Month-to-month,56.08,3308.72,0
89,59,Female,64,Premium,Month-to-month,31.46,2013.44,0
90,61,Male,6,Basic,One-year,70.04,420.24,0
91,53,Male,23,Premium,One-year,111.79,2571.17,1
92,24,Male,70,Premium,Month-to-month,90.25,6317.5,0
93,58,Male,28,Basic,Month-to-month,100.63,2817.64,1
94,34,Male,53,Premium,Two-year,35.16,1863.48,0
95,39,Male,19,Premium,One-year,31.97,607.43,1
96,49,Male,69,Premium,Month-to-month,107.89,7444.41,1
97,34,Female,54,Basic,Month-to-month,88.91,4801.14,1
98,54,Female,32,Premium,Two-year,77.67,2485.44,0
99,18,Male,25,Basic,Two-year,93.84,2346.0,1
100,62,Female,69,Basic,Month-to-month,90.48,6243.12,1
101,50,Female,70,Basic,One-year,55.15,3860.5,0
102,30,Male,17,Premium,Two-year,44.11,749.87,0
103,57,Female,46,Premium,One-year,35.86,1649.56,1
104,42,Male,69,Premium,One-year,70.73,4880.37,0
105,26,Female,65,Basic,One-year,110.57,7187.05,0
106,36,Female,14,Basic,One-year,59.88,838.32,0
107,34,Female,51,Premium,Two-year,36.3,1851.3,1
108,58,Male,36,Basic,Two-year,100.4,3614.4,0
109,64,Female,29,Premium,Two-year,34.68,1005.72,0
110,53,Male,46,Basic,Month-to-month,55.53,2554.38,0
111,44,Female,18,Premium,One-year,113.21,2037.78,1
112,20,Male,35,Basic,Month-to-month,78.36,2742.6,0
113,30,Male,26,Basic,Month-to-month,83.7,2176.2,0
114,33,Male,4,Basic,One-year,42.58,170.32,0
115,52,Female,3,Basic,One-year,94.43,283.29,1
116,31,Male,46,Basic,Two-year,103.87,4778.02,0
117,64,Male,69,Basic,One-year,33.48,2310.12,0
118,41,Female,6,Premium,Month-to-month,55.44,332.64,1
119,51,Female,61,Premium,Month-to-month,37.22,2270.42,1
120,18,Male,42,Premium,One-year,32.71,1373.82,1
121,64,Male,23,Basic,One-year,38.69,889.87,0
122,60,Male,8,Basic,Month-to-month,112.69,901.52,1
123,60,Female,55,Premium,Two-year,42.75,2351.25,1
124,25,Female,59,Basic,One-year,42.43,2503.37,0
125,41,Female,58,Premium,One-year,38.57,2237.06,0
126,57,Male,19,Basic,Month-to-month,31.91,606.29,1
127,67,Female,68,Premium,Two-year,63.76,4335.68,0
128,42,Male,3,Basic,Two-year,67.0,201.0,0
129,35,Male,34,Basic,One-year,33.44,1136.96,1
130,58,Male,57,Basic,One-year,103.1,5876.7,0
131,65,Female,53,Basic,Two-year,36.13,1914.89,1
132,27,Male,48,Basic,Month-to-month,58.89,2826.72,0
133,32,Male,3,Basic,Month-to-month,113.2,339.6,1
134,69,Male,39,Basic,Two-year,65.49,2554.11,0
135,39,Female,51,Premium,One-year,90.55,4618.05,1
136,58,Female,65,Basic,Month-to-month,96.42,6267.3,1
137,38,Male,55,Premium,Month-to-month,41.89,2303.95,1
138,45,Female,47,Premium,Two-year,39.0,1833.0,0
139,44,Male,39,Basic,One-year,89.83,3503.37,1
140,31,Male,41,Premium,Two-year,103.34,4236.94,1
141,49,Male,42,Basic,Two-year,100.78,4232.76,0
142,55,Female,20,Basic,Two-year,56.27,1125.4,0
143,62,Male,47,Premium,Month-to-month,110.15,5177.05,1
144,51,Female,54,Premium,Two-year,96.08,5188.32,0
145,67,Female,19,Premium,Month-to-month,47.09,894.71,1
146,28,Male,17,Premium,Month-to-month,64.18,1091.06,0
147,64,Female,21,Basic,One-year,31.31,657.51,1
148,52,Female,35,Premium,Two-year,80.84,2829.4,0
149,42,Female,42,Premium,One-year,107.58,4518.36,0
150,39,Male,64,Basic,One-year,118.37,7575.68,0
151,22,Male,6,Premium,Month-to-month,119.95,719.7,1
152,42,Male,46,Basic,Month-to-month,93.53,4302.38,0
153,58,Female,41,Premium,One-year,38.56,1580.96,1
154,44,Male,57,Premium,Two-year,43.29,2467.53,1
155,25,Male,35,Basic,Month-to-month,33.63,1177.05,0
156,40,Female,3,Premium,Two-year,58.25,174.75,1
157,57,Female,47,Basic,One-year,116.09,5456.23,1
158,69,Male,9,Premium,One-year,48.24,434.16,1
159,25,Female,50,Basic,One-year,51.01,2550.5,0
160,20,Female,16,Premium,Month-to-month,50.08,801.28,1
161,19,Female,42,Premium,Month-to-month,36.39,1528.38,0
162,37,Female,6,Premium,Two-year,85.35,512.1,0
163,52,Male,50,Basic,Month-to-month,81.65,4082.5,0
164,52,Male,71,Premium,One-year,35.03,2487.13,1
165,51,Female,3,Premium,One-year,104.98,314.94,0
166,52,Female,26,Premium,Two-year,44.71,1162.46,1
167,50,Male,67,Basic,Two-year,68.52,4590.84,0
168,36,Male,20,Premium,Two-year,53.69,1073.8,0
169,38,Male,52,Basic,Two-year,110.28,5734.56,0
170,49,Female,4,Premium,Month-to-month,66.75,267.0,1
171,28,Female,50,Premium,Two-year,113.54,5677.0,0
172,30,Female,59,Premium,Two-year,56.13,3311.67,1
173,39,Female,54,Premium,Two-year,38.07,2055.78,0
174,52,Male,54,Premium,Two-year,68.54,3701.16,1
175,46,Male,27,Basic,One-year,86.27,2329.29,1
176,62,Female,41,Basic,Month-to-month,114.09,4677.69,0
177,22,Female,70,Premium,Two-year,116.48,8153.6,1
178,68,Female,14,Premium,Two-year,110.63,1548.82,1
179,48,Male,17,Basic,Month-to-month,72.88,1238.96,1
180,48,Male,49,Basic,Two-year,82.73,4053.77,1
181,61,Female,19,Basic,Two-year,40.5,769.5,0
182,64,Male,15,Premium,Month-to-month,86.81,1302.15,0
183,44,Female,42,Basic,Two-year,88.63,3722.46,0
184,55,Male,27,Premium,One-year,94.31,2546.37,0
185,42,Male,51,Basic,Month-to-month,118.94,6065.94,1
186,68,Female,43,Basic,Month-to-month,55.41,2382.63,0
187,28,Female,17,Premium,Month-to-month,51.31,872.27,1
188,44,Male,34,Premium,One-year,112.45,3823.3,0
189,30,Male,66,Premium,Two-year,101.98,6730.68,0
190,36,Female,54,Premium,Month-to-month,107.4,5799.6,1
191,63,Female,33,Basic,One-year,44.97,1484.01,1
192,45,Female,71,Basic,One-year,41.85,2971.35,0
193,36,Male,62,Basic,One-year,112.21,6957.02,0
194,53,Male,2,Premium,Month-to-month,39.54,79.08,1
195,20,Male,65,Premium,One-year,35.73,2322.45,1
196,60,Male,46,Basic,Two-year,91.93,4228.78,1
197,32,Female,31,Premium,Month-to-month,87.2,2703.2,0
198,36,Female,38,Premium,Two-year,30.19,1147.22,1
199,52,Female,49,Basic,One-year,94.56,4633.44,1
200,60,Male,46,Basic,Two-year,86.28,3968.88,1
201,53,Female,68,Premium,Two-year,33.9,2305.2,1
202,45,Female,54,Basic,One-year,115.31,6226.74,0
203,48,Female,58,Premium,Two-year,72.29,4192.82,0
204,33,Female,40,Premium,One-year,94.19,3767.6,0
205,43,Male,23,Premium,Two-year,38.0,874.0,0
206,32,Male,47,Premium,Month-to-month,38.55,1811.85,0
207,53,Female,21,Premium,One-year,31.94,670.74,1
208,50,Male,68,Basic,Two-year,38.96,2649.28,1
209,41,Male,60,Premium,Two-year,85.34,5120.4,1
210,27,Male,9,Premium,Two-year,54.93,494.37,0
211,46,Male,22,Premium,Month-to-month,83.36,1833.92,1
212,56,Female,62,Basic,Month-to-month,99.82,6188.84,0
213,56,Female,11,Basic,Two-year,108.25,1190.75,0
214,46,Female,37,Basic,One-year,59.2,2190.4,1
215,18,Male,43,Premium,One-year,49.29,2119.47,0
