RowID,OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,ProductID,Category,SubCategory,ProductName,Sales,Quantity,Discount,Profit
1,CA-14854,2019-01-01,2019-01-03,Same Day,C-3624,Customer 1,Home Office,United States,Los Angeles,California,36398,West,P-8588,Office Supplies,Binders,Product 1,1172.21,3,0.11,123.71
2,CA-13877,2019-01-02,2019-01-04,Standard Class,C-6401,Customer 2,Consumer,United States,Chicago,Illinois,24847,Central,P-5718,Office Supplies,Binders,Product 2,609.79,8,0.06,113.99
3,CA-50814,2019-01-03,2019-01-05,Same Day,C-3036,Customer 3,Consumer,United States,Miami,Florida,23948,West,P-6756,Office Supplies,Binders,Product 3,192.9,2,0.01,36.34
4,CA-94670,2019-01-04,2019-01-06,Same Day,C-9632,Customer 4,Corporate,United States,Houston,Texas,16196,Central,P-4075,Technology,Accessories,Product 4,1654.36,5,0.16,308.46
5,CA-86335,2019-01-05,2019-01-07,First Class,C-8004,Customer 5,Home Office,United States,Los Angeles,California,26372,Central,P-5375,Furniture,Chairs,Product 5,150.82,6,0.07,37.63
6,CA-33518,2019-01-06,2019-01-08,Same Day,C-5623,Customer 6,Corporate,United States,Los Angeles,California,70961,Central,P-1114,Office Supplies,Storage,Product 6,1270.77,3,0.18,78.28
7,CA-43451,2019-01-07,2019-01-09,Second Class,C-8341,Customer 7,Home Office,United States,Chicago,Illinois,60354,South,P-3018,Office Supplies,Paper,Product 7,1977.22,8,0.13,445.22
8,CA-62693,2019-01-08,2019-01-10,First Class,C-1320,Customer 8,Consumer,United States,New York,New York,60536,South,P-1904,Technology,Copiers,Product 8,193.49,8,0.1,9.6
9,CA-14784,2019-01-09,2019-01-11,Second Class,C-5233,Customer 9,Consumer,United States,Miami,Florida,10319,East,P-8616,Office Supplies,Paper,Product 9,455.86,6,0.11,26.54
10,CA-25796,2019-01-10,2019-01-12,Second Class,C-9654,Customer 10,Consumer,United States,Chicago,Illinois,33892,Central,P-5750,Office Supplies,Binders,Product 10,1526.39,9,0.17,350.79
11,CA-29752,2019-01-11,2019-01-13,Same Day,C-7106,Customer 11,Corporate,United States,Chicago,Illinois,67681,South,P-1775,Office Supplies,Storage,Product 11,211.85,3,0.25,35.97
12,CA-81050,2019-01-12,2019-01-14,Standard Class,C-6201,Customer 12,Consumer,United States,Los Angeles,California,90239,West,P-3409,Office Supplies,Paper,Product 12,1668.8,3,0.2,281.26
13,CA-92141,2019-01-13,2019-01-15,First Class,C-1749,Customer 13,Consumer,United States,Los Angeles,California,22017,Central,P-7103,Office Supplies,Storage,Product 13,20.53,8,0.03,3.57
14,CA-57024,2019-01-14,2019-01-16,Standard Class,C-3794,Customer 14,Corporate,United States,Miami,Florida,99341,South,P-9076,Furniture,Chairs,Product 14,1782.1,4,0.17,362.41
15,CA-44020,2019-01-15,2019-01-17,First Class,C-4344,Customer 15,Home Office,United States,Miami,Florida,27405,East,P-4116,Office Supplies,Storage,Product 15,152.31,1,0.23,27.23
16,CA-97493,2019-01-16,2019-01-18,Second Class,C-2349,Customer 16,Consumer,United States,New York,New York,64332,East,P-7143,Technology,Accessories,Product 16,1845.52,8,0.09,228.37
17,CA-95822,2019-01-17,2019-01-19,Same Day,C-5070,Customer 17,Home Office,United States,Houston,Texas,19913,West,P-8494,Office Supplies,Binders,Product 17,1731.81,8,0.19,243.84
18,CA-84651,2019-01-18,2019-01-20,Same Day,C-8369,Customer 18,Home Office,United States,Chicago,Illinois,55071,West,P-3671,Office Supplies,Paper,Product 18,1088.33,5,0.0,185.65
19,CA-85356,2019-01-19,2019-01-21,Same Day,C-5812,Customer 19,Corporate,United States,Los Angeles,California,46312,South,P-9861,Technology,Phones,Product 19,1560.34,2,0.28,178.01
20,CA-93848,2019-01-20,2019-01-22,Standard Class,C-5435,Customer 20,Home Office,United States,New York,New York,14814,East,P-1970,Technology,Phones,Product 20,168.26,7,0.08,34.13
21,CA-69974,2019-01-21,2019-01-23,Same Day,C-9003,Customer 21,Home Office,United States,Los Angeles,California,91254,South,P-5950,Office Supplies,Binders,Product 21,287.59,4,0.27,53.07
22,CA-33421,2019-01-22,2019-01-24,Same Day,C-2970,Customer 22,Corporate,United States,Chicago,Illinois,77271,Central,P-7460,Office Supplies,Storage,Product 22,751.19,8,0.06,203.94
